股票代码,策略总收益率,策略年化收益率,策略最大回撤,策略夏普比率,策略胜率,策略盈亏比,策略交易次数,买入持有收益率,买入持有最大回撤,买入持有夏普比率,超额收益,回撤改善
002027,-0.048164492,-0.004974779,-0.510267506,0.005277567869027528,0.6956521739130435,0.010400448747294793,24,0.13210800846253945,-0.682704219,0.1503480828325645,-0.180272501,0.1724367135065313
002049,0.0332586202860341,0.003486651218992165,-0.465326257,0.07093733057072134,0.64,0.011007044105017067,26,0.9900810484178233,-0.73600853,0.31671400751028717,-0.956822428,0.2706822729557022
002065,-0.037663049,-0.004011464,-0.758498446,0.03555923235073145,0.5,0.010142613527572517,27,-0.228465191,-0.741565137,0.051253484789549206,0.19080214189378045,-0.016933309
002074,0.35977926840855545,0.031802497013364794,-0.640196399,0.16497508460693808,0.4642857142857143,0.012327919320733596,29,0.38761786150885685,-0.747936523,0.23423554432256483,-0.027838593,0.10774012411675557
002081,0.18483914597409412,0.01728321076379613,-0.533455056,0.05915144374660871,0.5161290322580645,0.011380867335862369,32,-0.513153929,-0.80340832,-0.162253948,0.6979930752123706,0.26995326434612
002085,-0.024670186,-0.002571363,-0.553543624,0.015279106257092518,0.5625,0.009818675305124125,32,0.41768322481627007,-0.820844033,0.2129893469954225,-0.442353411,0.26730040978169833
002129,-0.819257836,-0.187373694,-0.859740207,-0.598102278,0.3125,0.003051567851180545,16,0.636520545789778,-0.847534366,0.2664921542659073,-1.455778382,-0.012205841
002131,-0.34935271,-0.042734002,-0.761535225,-0.088331128,0.5185185185185185,0.006970119685426792,27,1.1840155254030984,-0.782370674,0.3330852656281177,-1.533368235,0.020835449253930705
002142,1.3382550333798071,0.08979921758723484,-0.360517001,0.37138769872567795,0.6333333333333333,0.025374527696970146,30,3.109574201805441,-0.527463497,0.5194826985957908,-1.771319168,0.166946496361871
002146,-0.53003842,-0.073714781,-0.757525097,-0.139819557,0.6521739130434783,0.007757736283434625,24,-0.704123104,-0.896538731,-0.138121818,0.17408468375769431,0.13901363355807306
002152,1.0498144572947967,0.0754345398502334,-0.436440761,0.29445430324052685,0.7352941176470589,0.018797116065805072,34,0.7567702468052349,-0.553978035,0.2570582793600853,0.29304421048956186,0.11753727446671704
002153,1.0701521405249204,0.07667535432670691,-0.473826479,0.2952068503080607,0.6428571428571429,0.01741477124692085,29,0.274650163970916,-0.766430296,0.22360865007767974,0.7955019765540043,0.29260381718187667
002174,-0.238709052,-0.027178962,-0.676086281,-0.039093363,0.5806451612903226,0.008569240675357847,32,-0.582016122,-0.853387178,-0.002643143,0.3433070701628039,0.17730089736681975
002183,-0.773353797,-0.1410424,-0.805487954,-0.485588798,0.375,0.0040085203205211355,25,-0.561083548,-0.822940133,-0.07230043,-0.212270249,0.017452179042144564
002195,4.15953248492663,0.18030890834975088,-0.607098434,0.5680918717722924,0.71875,0.034808780508182466,33,1.7860051813482238,-0.678865954,0.3846132850750874,2.3735273035784066,0.07176751988322032
002202,0.24022831663444477,0.022035721927363694,-0.584114491,0.0929174916629965,0.6206896551724138,0.011164340397428845,30,2.2959761431249865,-0.673372846,0.42484930121875725,-2.055747826,0.08925835485789435
002230,0.17508998997480732,0.01675481149935809,-0.676559593,0.07419754949699656,0.6785714285714286,0.011774217555245221,29,2.0185225924205192,-0.588977778,0.4030053661031516,-1.843432602,-0.087581814
