股票代码,策略总收益率(%),策略年化收益率(%),策略最大回撤(%),策略夏普比率,策略胜率(%),策略盈亏比,策略交易次数,买入持有收益率(%),买入持有最大回撤(%),买入持有夏普比率,超额收益(%),回撤改善(%)
000792,-0.07938916710874822,-0.009554198808564784,-0.49164451484293825,-0.049309034653269836,0.64,0.009457539619701184,25,2.2732978128471735,-0.7212787212787213,0.31343782573193285,-2.3526869799559216,0.22963420643578294
000793,-0.23179844669227556,-0.02747545975712673,-0.790356280805155,0.0014261503020522796,0.6896551724137931,0.008271986052304498,29,-0.648587804212413,-0.9360569609576068,-0.033196840396920155,0.4167893575201375,0.14570068015245183
000800,0.15308501219654058,0.014549378652568556,-0.43659456942929703,0.04874665736373607,0.65625,0.012139719156576667,33,-0.3772576945413741,-0.6508524080164286,-0.061697286745027786,0.5303427067379147,0.21425783858713168
000826,-0.617696994907641,-0.093978254275076,-0.7766025192502471,-0.2849367272596267,0.5625,0.005216291444198075,32,-0.8758390033422873,-0.9497005907544898,-0.3427128235219298,0.25814200843464635,0.1730980715042426
000839,-0.7102666859555175,-0.1176412381377232,-0.8226096690548581,-0.34886390785336086,0.35714285714285715,0.003010857498089193,28,-0.3309010826275186,-0.867716241672855,0.05665666691953012,-0.3793656033279988,0.04510657261799679
000858,0.4371195679246198,0.037317379148759766,-0.606882122785565,0.14280339487971666,0.7037037037037037,0.013238828349391775,28,4.154179425441875,-0.6598294084204452,0.5632342057020833,-3.7170598575172544,0.05294728563488029
000876,-0.04518225732636205,-0.004669858225256007,-0.7021054021711783,-0.027975585800444357,0.6153846153846154,0.009714213816659236,27,0.36364053897315807,-0.8061076102762967,0.17273201336769056,-0.4088227962995201,0.1040022081051184
000895,0.8601811923942877,0.06504718884027705,-0.47656182289239735,0.27019482342944195,0.75,0.016277722261516622,33,1.4374748275672748,-0.6105051812474266,0.3528492792145322,-0.5772936351729873,0.1339433583550292
000917,0.12077903984888216,0.01180692412929707,-0.5637745714177474,0.07430763515997195,0.65625,0.011902958640997018,33,-0.2623979097539222,-0.805717892294347,0.07791396119162343,0.38317694960280435,0.2419433208765995
000938,0.6046199506381051,0.04962748598875333,-0.5319717255253792,0.20239517890250494,0.6071428571428571,0.013445017360591907,29,0.2889612302576732,-0.604758094320512,0.20395063436508354,0.31565872038043197,0.07278636879513278
000963,-0.2577467177661431,-0.029664855702915105,-0.6194829788668769,-0.10706595381980578,0.5925925925925926,0.00896036173180082,28,1.0982142289444203,-0.6168020054285224,0.3073056945596115,-1.3559609467105633,-0.002680973438354499
000977,-0.07119951185551787,-0.007465173832713723,-0.619764396434963,0.04601933629566691,0.6086956521739131,0.009684408532108002,24,2.589054145785562,-0.5871339297337013,0.4449307590962462,-2.66025365764108,-0.03263046670126166
000983,0.015688740210688668,0.001579194030617348,-0.4427610455367059,-0.0023040563009970143,0.5517241379310345,0.010116053755922767,29,0.8266317335525168,-0.5963074939827387,0.2797365394179602,-0.8109429933418282,0.15354644844603285
